BEGIN_DATE,BEGIN_TIME,END_DATE,END_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,road_closures,power_outage,total_severity
01-MAR-17,08:47:00,01-MAR-17,08:47:00,114118,685292,Thunderstorm Wind,"FENTRESS, TENNESSEE",CST-6,0,0,0,0,10,0,36.2295,-84.9984,36.2295,-84.9984,False,False,0.6088980858768753
01-MAR-17,10:25:00,01-MAR-17,10:25:00,114118,685293,Thunderstorm Wind,"WAYNE, TENNESSEE",CST-6,0,0,0,0,1000,0,35.341,-87.8108,35.341,-87.8108,False,False,0.6811627004655976
01-MAR-17,08:01:00,01-MAR-17,08:06:00,114118,685102,Thunderstorm Wind,"PUTNAM, TENNESSEE",CST-6,0,0,0,0,5000,0,36.135,-85.803,36.1521,-85.7201,False,False,0.8617434040351785
11-MAR-17,00:00:00,11-MAR-17,09:00:00,114527,686845,Winter Weather,"WHITE, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
11-MAR-17,00:00:00,11-MAR-17,09:00:00,114527,686847,Winter Weather,"WILSON, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
11-MAR-17,18:00:00,12-MAR-17,00:00:00,114527,686831,Winter Weather,"LAWRENCE, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
11-MAR-17,00:00:00,11-MAR-17,09:00:00,114527,686846,Winter Weather,"WILLIAMSON, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
11-MAR-17,00:00:00,11-MAR-17,09:00:00,114527,686819,Winter Weather,"CHEATHAM, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
11-MAR-17,00:00:00,11-MAR-17,09:00:00,114527,686822,Winter Weather,"DAVIDSON, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
01-MAR-17,06:20:00,01-MAR-17,06:20:00,114118,685620,Thunderstorm Wind,"HOUSTON, TENNESSEE",CST-6,0,0,0,0,3000,0,36.32,-87.7,36.32,-87.7,False,False,0.8290222452146921
